ArticleID;idProduct;Name;ExpansionCode;SetCode;CollectorNumber;Expansion;Rarity;Language;Condition;ConditionFull;ReverseHolo;Comments;_OriginalComments;Price_EUR;_OriginalPrice_EUR;Amount;Total_EUR;ProductUrl;ImageUrl;delete
"=""2101859727""";"=""294782""";"Aethergeode Miner";"";"";"";"Aether Revolt";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Aether-Revolt/Aethergeode-Miner";"https://product-images.s3.cardmarket.com/1/AER/294782/294782.jpg";"N"
"=""2101745865""";"=""20885""";"Filigree Angel";"";"";"";"Alara Reborn";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,30";"0,30";"1";"0,30";"https://www.cardmarket.com/en/Magic/Products/Singles/Alara-Reborn/Filigree-Angel";"https://product-images.s3.cardmarket.com/1/ARB/20885/20885.jpg";"N"
"=""2101828336""";"=""20982""";"Sages of the Anima";"";"";"";"Alara Reborn";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Alara-Reborn/Sages-of-the-Anima";"https://product-images.s3.cardmarket.com/1/ARB/20982/20982.jpg";"N"
"=""2102891767""";"=""20969""";"Spellbound Dragon";"";"";"";"Alara Reborn";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,30";"0,30";"1";"0,30";"https://www.cardmarket.com/en/Magic/Products/Singles/Alara-Reborn/Spellbound-Dragon";"https://product-images.s3.cardmarket.com/1/ARB/20969/20969.jpg";"N"
"=""2103087916""";"=""7857""";"Diseased Vermin";"";"";"";"Alliances";"Uncommon";"English";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Alliances/Diseased-Vermin";"https://product-images.s3.cardmarket.com/1/ALL/7857/7857.jpg";"N"
"=""2101902990""";"=""3187""";"Anavolver";"";"";"";"Apocalypse";"Rare";"Italian";"EX";"Excellent";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Apocalypse/Anavolver";"https://product-images.s3.cardmarket.com/1/APC/3187/3187.jpg";"N"
"=""2101911601""";"=""3133""";"Cetavolver";"";"";"";"Apocalypse";"Rare";"English";"EX";"Excellent";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Apocalypse/Cetavolver";"https://product-images.s3.cardmarket.com/1/APC/3133/3133.jpg";"N"
"=""2101850528""";"=""3118""";"Degavolver";"";"";"";"Apocalypse";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Apocalypse/Degavolver";"https://product-images.s3.cardmarket.com/1/APC/3118/3118.jpg";"N"
"=""2102890851""";"=""3224""";"Mystic Snake";"";"";"";"Apocalypse";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"1,00";"1,00";"1";"1,00";"https://www.cardmarket.com/en/Magic/Products/Singles/Apocalypse/Mystic-Snake";"https://product-images.s3.cardmarket.com/1/APC/3224/3224.jpg";"N"
"=""2101878974""";"=""3158""";"Necravolver";"";"";"";"Apocalypse";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,40";"0,40";"1";"0,40";"https://www.cardmarket.com/en/Magic/Products/Singles/Apocalypse/Necravolver";"https://product-images.s3.cardmarket.com/1/APC/3158/3158.jpg";"N"
"=""2101743634""";"=""3225""";"Overgrown Estate";"";"";"";"Apocalypse";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,70";"0,70";"1";"0,70";"https://www.cardmarket.com/en/Magic/Products/Singles/Apocalypse/Overgrown-Estate";"https://product-images.s3.cardmarket.com/1/APC/3225/3225.jpg";"N"
"=""2101919936""";"=""3180""";"Rakavolver";"";"";"";"Apocalypse";"Rare";"English";"EX";"Excellent";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Apocalypse/Rakavolver";"https://product-images.s3.cardmarket.com/1/APC/3180/3180.jpg";"N"
"=""2101753753""";"=""254627""";"Devastation Tide";"";"";"";"Avacyn Restored";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,50";"0,50";"1";"0,50";"https://www.cardmarket.com/en/Magic/Products/Singles/Avacyn-Restored/Devastation-Tide";"https://product-images.s3.cardmarket.com/1/AVR/254627/254627.jpg";"N"
"=""2103070475""";"=""254717""";"Seraph Sanctuary";"";"";"";"Avacyn Restored";"Common";"English";"NM";"Near Mint";"N";"";"";"1,00";"1,00";"2";"2,00";"https://www.cardmarket.com/en/Magic/Products/Singles/Avacyn-Restored/Seraph-Sanctuary";"https://product-images.s3.cardmarket.com/1/AVR/254717/254717.jpg";"N"
"=""2102883353""";"=""855726""";"Aang, at the Crossroads // Aang, Destined Savior";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,30";"0,30";"1";"0,30";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Aang-at-the-Crossroads-Aang-Destined-Savior";"https://product-images.s3.cardmarket.com/1/TLA/855726/855726.jpg";"N"
"=""2103093713""";"=""855697""";"Airbender Ascension";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"1,00";"1,00";"1";"1,00";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Airbender-Ascension";"https://product-images.s3.cardmarket.com/1/TLA/855697/855697.jpg";"N"
"=""2103093051""";"=""855708""";"Boiling Rock Rioter";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Boiling-Rock-Rioter";"https://product-images.s3.cardmarket.com/1/TLA/855708/855708.jpg";"N"
"=""2103093588""";"=""857467""";"Diligent Zookeeper";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Diligent-Zookeeper";"https://product-images.s3.cardmarket.com/1/TLA/857467/857467.jpg";"N"
"=""2103098023""";"=""857742""";"Elemental Teachings";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,30";"0,30";"1";"0,30";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Elemental-Teachings";"https://product-images.s3.cardmarket.com/1/TLA/857742/857742.jpg";"N"
"=""2103090823""";"=""856077""";"Foggy Swamp Visions";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Foggy-Swamp-Visions";"https://product-images.s3.cardmarket.com/1/TLA/856077/856077.jpg";"N"
"=""2103092884""";"=""857836""";"Great Divide Guide";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,90";"0,90";"1";"0,90";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Great-Divide-Guide";"https://product-images.s3.cardmarket.com/1/TLA/857836/857836.jpg";"N"
"=""2101932898""";"=""858227""";"Hakoda, Selfless Commander";"";"";"";"Avatar: The Last Airbender";"Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,20";"0,20";"1";"0,20";"https://www.cardmarket.com/en/Magic/Products/Singles/Magic-The-Gathering-Avatar-The-Last-Airbender/Hakoda-Selfless-Commander";"https://product-images.s3.cardmarket.com/1/TLA/858227/858227.jpg";"N"
