ArticleID;idProduct;Name;ExpansionCode;SetCode;CollectorNumber;Expansion;Rarity;Language;Condition;ConditionFull;ReverseHolo;Comments;_OriginalComments;Price_EUR;_OriginalPrice_EUR;Amount;Total_EUR;ProductUrl;ImageUrl;delete
"=""2108485085""";"=""275059""";"Bellossom (AQ H5)";"AQ H5";"AQ";"H5";"Aquapolis";"Holo Rare ";"English";"EX";"Excellent";"N";"";"";"57,00";"57,00";"1";"57,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Aquapolis/Bellossom-V1-AQH5";"https://product-images.s3.cardmarket.com/51/AQ/275059/275059.jpg";"N"
"=""2101722525""";"=""658875""";"Temple of Sinnoh (ASR 214)";"ASR 214";"ASR";"214";"Astral Radiance";"Secret Rare ";"Italian";"NM";"Near Mint";"N";"";"";"4,50";"4,50";"1";"4,50";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Astral-Radiance/Temple-of-Sinnoh-V2-ASR214";"https://product-images.s3.cardmarket.com/51/ASR/658875/658875.jpg";"N"
"=""2101722093""";"=""836230""";"Serperior ex (BLK 156)";"BLK 156";"BLK";"156";"Black Bolt";"Ultra Rare";"Italian";"NM";"Near Mint";"N";"";"";"0,70";"0,70";"1";"0,70";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Black-Bolt/Serperior-ex-V2-BLK156";"https://product-images.s3.cardmarket.com/51/BLK/836230/836230.jpg";"N"
"=""2101721591""";"=""826083""";"Ethan's Ho-Oh ex (DRI 209)";"DRI 209";"DRI";"209";"Destined Rivals";"Ultra Rare";"Italian";"NM";"Near Mint";"N";"";"";"2,00";"2,00";"2";"4,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Destined-Rivals/Ethans-Ho-Oh-ex-V2-DRI209";"https://product-images.s3.cardmarket.com/51/DRI/826083/826083.jpg";"N"
"=""2101721349""";"=""826096""";"Judge (DRI 222)";"DRI 222";"DRI";"222";"Destined Rivals";"Ultra Rare";"Italian";"NM";"Near Mint";"N";"";"";"1,00";"1,00";"1";"1,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Destined-Rivals/Judge-V2-DRI222";"https://product-images.s3.cardmarket.com/51/DRI/826096/826096.jpg";"N"
"=""2101721119""";"=""275971""";"Latios ex (DR 94)";"DR 94";"DR";"94";"EX Dragon";"Ultra Rare";"English";"LP";"Light Played";"N";"";"";"80,00";"80,00";"1";"80,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-Dragon/Latios-ex-DR94";"https://product-images.s3.cardmarket.com/51/DR/275971/275971.jpg";"N"
"=""2108436172""";"=""276284""";"Gengar ex (FL 108)";"FL 108";"FL";"108";"EX FireRed & LeafGreen";"Ultra Rare";"English";"GD";"Good";"N";"";"";"720,00";"720,00";"1";"720,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-FireRed-LeafGreen/Gengar-ex-FL108";"https://product-images.s3.cardmarket.com/51/FL/276284/276284.jpg";"N"
"=""2108450109""";"=""276023""";"Squirtle (MA 46)";"MA 46";"MA";"46";"EX Team Magma vs Team Aqua";"Common";"English";"GD";"Good";"Y";"";"";"90,00";"90,00";"1";"90,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-Team-Magma-vs-Team-Aqua/Squirtle-MA46";"https://product-images.s3.cardmarket.com/51/MA/276023/276023.jpg";"N"
"=""2108483691""";"=""276301""";"Dark Slowking (TRR 9)";"TRR 9";"TRR";"9";"EX Team Rocket Returns";"Holo Rare ";"English";"EX";"Excellent";"N";"";"";"37,00";"37,00";"1";"37,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-Team-Rocket-Returns/Dark-Slowking-TRR9";"https://product-images.s3.cardmarket.com/51/TRR/276301/276301.jpg";"N"
"=""2108447135""";"=""276304""";"Kingdra (TRR 12)";"TRR 12";"TRR";"12";"EX Team Rocket Returns";"Holo Rare ";"English";"NM";"Near Mint";"Y";"Stamped Holo";"Stamped Holo";"70,00";"70,00";"1";"70,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-Team-Rocket-Returns/Kingdra-TRR12";"https://product-images.s3.cardmarket.com/51/TRR/276304/276304.jpg";"N"
"=""2108482636""";"=""274897""";"Pichu (EX 22)";"EX 22";"EX";"22";"Expedition Base Set";"Holo Rare ";"Italian";"LP";"Light Played";"N";"";"";"32,00";"32,00";"1";"32,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Expedition-Base-Set/Pichu-EX22";"https://product-images.s3.cardmarket.com/51/EX/274897/274897.jpg";"N"
"=""2108432645""";"=""273869""";"Hypno (FO 8)";"FO 8";"FO";"8";"Fossil";"Holo Rare ";"Italian";"GD";"Good";"N";"";"";"23,00";"23,00";"1";"23,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Fossil/Hypno-V1-FO8";"https://product-images.s3.cardmarket.com/51/FO/273869/273869.jpg";"N"
"=""2101722846""";"=""817326""";"Lillie's Clefairy ex (JTG 173)";"JTG 173";"JTG";"173";"Journey Together";"Ultra Rare";"Italian";"NM";"Near Mint";"N";"";"";"3,40";"3,40";"1";"3,40";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Lillies-Clefairy-ex-V2-JTG173";"https://product-images.s3.cardmarket.com/51/JTG/817326/817326.jpg";"N"
"=""2108487579""";"=""274794""";"Mewtwo (LC 29)";"LC 29";"LC";"29";"Legendary Collection";"Rare";"English";"EX";"Excellent";"Y";"";"";"750,00";"750,00";"1";"750,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Legendary-Collection/Mewtwo-V1-LC29";"https://product-images.s3.cardmarket.com/51/LC/274794/274794.jpg";"N"
"=""2101721741""";"=""702549""";"Miraidon ex (SVI 253)";"SVI 253";"SVI";"253";"Scarlet & Violet";"Secret Rare ";"Italian";"NM";"Near Mint";"N";"";"";"3,00";"3,00";"1";"3,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet/Miraidon-ex-V5-SVI253";"https://product-images.s3.cardmarket.com/51/SVI/702549/702549.jpg";"N"
"=""2108489966""";"=""275403""";"Celebi (SK 145)";"SK 145";"SK";"145";"Skyridge";"Secret Rare ";"English";"EX";"Excellent";"N";"";"";"2.400,00";"2.400,00";"1";"2400,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Skyridge/Celebi-SK145";"https://product-images.s3.cardmarket.com/51/SK/275403/275403.jpg";"N"
"=""2108428889""";"=""275342""";"Pikachu (SK 84)";"SK 84";"SK";"84";"Skyridge";"Common";"English";"EX";"Excellent";"Y";"";"";"630,00";"630,00";"1";"630,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Skyridge/Pikachu-SK84";"https://product-images.s3.cardmarket.com/51/SK/275342/275342.jpg";"N"
"=""2108442031""";"=""275243""";"Raichu (SK H25)";"SK H25";"SK";"H25";"Skyridge";"Holo Rare ";"English";"EX";"Excellent";"N";"";"";"230,00";"230,00";"1";"230,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Skyridge/Raichu-V1-SKH25";"https://product-images.s3.cardmarket.com/51/SK/275243/275243.jpg";"N"
"=""2101722319""";"=""793594""";"Jasmine's Gaze (sv8 129)";"sv8 129";"sv8";"129";"Super Electric Breaker";"Ultra Rare";"Japanese";"NM";"Near Mint";"N";"";"";"2,00";"2,00";"1";"2,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Super-Electric-Breaker/Jasmines-Gaze-V2-sv8129";"https://product-images.s3.cardmarket.com/51/sv8/793594/793594.jpg";"N"
"=""2108438605""";"=""274136""";"Dark Raichu (TR 83)";"TR 83";"TR";"83";"Team Rocket";"Secret Rare ";"Italian";"PL";"Played";"N";"";"";"36,00";"36,00";"1";"36,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/Team-Rocket/Dark-Raichu-TR83";"https://product-images.s3.cardmarket.com/51/TR/274136/274136.jpg";"N"
"=""2101721902""";"=""836196""";"Reshiram ex (WHT 158)";"WHT 158";"WHT";"158";"White Flare";"Ultra Rare";"Italian";"NM";"Near Mint";"N";"";"";"1,00";"1,00";"1";"1,00";"https://www.cardmarket.com/en/Pokemon/Products/Singles/White-Flare/Reshiram-ex-V2-WHT158";"https://product-images.s3.cardmarket.com/51/WHT/836196/836196.jpg";"N"
